RMSD,Time 
3.4800003,0.3554417
3.4900002,0.3547854
3.5000002,0.3650007
3.5100002,0.3627331
3.5200002,0.3588497
3.5300002,0.3554173
3.5400002,0.3597807
3.5500002,0.3639582
3.5600002,0.3569549
3.5700002,0.3552268
3.5800002,0.355121
3.5900002,0.3570651
3.6000001,0.3538944
3.6100001,0.3548689
3.6200001,0.358855
3.6300001,0.3548908
3.6400001,0.3603847
3.6500001,0.3578082
3.6600001,0.3552554
3.6700001,0.3589512
3.6800001,0.3548841
3.6900001,0.3550328
3.7000003,0.3549208
3.7100003,0.3576902
3.7200003,0.3607975
3.7300003,0.3623349
3.7400002,0.3624319
3.7500002,0.3602359
3.7600002,0.3566625
3.7700002,0.3603891
3.7800002,0.3557775
3.7900002,0.3594416
3.8000002,0.3606699
3.8100002,0.3596748
3.8200002,0.3581647
3.8300002,0.3614348
3.8400002,0.3591905
3.8500001,0.3550022
3.8600001,0.3565504
3.8700001,0.354928
3.8800001,0.356071
3.8900001,0.3555036
3.9000001,0.3628508
3.9100001,0.3534435
3.9200001,0.360659
3.9300003,0.3544229
3.9400003,0.3560773
3.9500003,0.3522509
3.9600003,0.3592274
3.9700003,0.3561803
3.9800003,0.3592075
3.9900002,0.3583162
4,0.35571
4.0100002,0.3657672
4.02,0.3697198
4.0300002,0.3597867
4.04,0.3538031
4.0500002,0.3349806
4.0600004,0.3301158
4.0700002,0.3549686
4.0800004,0.3560754
4.0900002,0.3637439
4.1000004,0.3649011
4.1100001,0.3602216
4.1200004,0.3593052
4.1300001,0.3579387
4.1400003,0.3677708
4.1500001,0.357893
4.1600003,0.3631361
4.1700001,0.3612024
4.1800003,0.3632426
4.1900001,0.3599292
4.2000003,0.355155
4.21,0.3686664
4.2200003,0.3508555
4.23,0.3607112
4.2400002,0.3580699
4.25,0.3632646
4.2600002,0.3641628
4.27,0.3540392
4.2800002,0.3568113
4.2900004,0.3651984
4.3000002,0.3625171
4.3100004,0.3622157
4.3200002,0.3607389
4.3300004,0.3617426
4.3400002,0.3597947
4.3500004,0.3580415
4.3600001,0.3570177
4.3700004,0.3571301
4.3800001,0.3588527
4.3900003,0.3581511
4.4000001,0.3566882
4.4100003,0.3613631
4.4200001,0.3614133
